,timedelta,distance,mode_prediction,Latitude,Longitude,timestamp
0,0.0,0.0,walk,39.970129,116.418753,2007-08-04 03:30:32.000000
1,2.0,0.002222323855608094,walk,39.970109,116.41875400000002,2007-08-04 03:30:34.000000
2,4.0,0.0014459686915015133,walk,39.970096,116.418755,2007-08-04 03:30:36.000000
3,6.0,0.0019048991252787575,walk,39.97007900000001,116.41875200000001,2007-08-04 03:30:38.000000
4,8.0,0.0015915947281197977,walk,39.97006499999999,116.418748,2007-08-04 03:30:40.000000
5,10.0,0.0017342361493554485,walk,39.970051,116.41873900000002,2007-08-04 03:30:42.000000
6,12.0,0.0046704677821150726,walk,39.970009,116.418742,2007-08-04 03:30:44.000000
7,14.0,0.002299793640495231,walk,39.969989000000005,116.418735,2007-08-04 03:30:46.000000
8,16.0,0.0021524574643182084,walk,39.96997,116.41873,2007-08-04 03:30:48.000000
9,18.0,0.0022760625607681087,walk,39.96995100000001,116.41872,2007-08-04 03:30:50.000000
10,20.0,0.005146529670516249,walk,39.969936,116.418663,2007-08-04 03:30:52.000000
11,22.0,0.004711341409617115,walk,39.969906,116.418624,2007-08-04 03:30:54.000000
12,24.0,0.002108571652747272,walk,39.969889,116.418613,2007-08-04 03:30:56.000000
13,26.0,0.005022756501846839,walk,39.969844,116.418607,2007-08-04 03:30:58.000000
14,28.0,0.0014604590364994993,walk,39.969832,116.418614,2007-08-04 03:31:00.000000
15,30.0,0.002447974237893794,walk,39.969817,116.41863500000001,2007-08-04 03:31:02.000000
16,32.0,0.002100019781815227,walk,39.969805,116.418654,2007-08-04 03:31:04.000000
17,34.0,0.0026415871378545033,walk,39.969790999999994,116.418679,2007-08-04 03:31:06.000000
18,36.0,0.005100030332738987,walk,39.969784,116.418738,2007-08-04 03:31:08.000000
19,38.0,0.0018486438778346035,walk,39.969772000000006,116.418753,2007-08-04 03:31:10.000000
20,40.0,0.0012939162996231394,walk,39.969761,116.418748,2007-08-04 03:31:12.000000
21,42.0,0.0038384535945447523,walk,39.969729,116.418765,2007-08-04 03:31:14.000000
22,44.0,0.0019182624407890864,walk,39.969712,116.418769,2007-08-04 03:31:16.000000
23,46.0,0.004005433957425157,walk,39.969676,116.41877200000002,2007-08-04 03:31:18.000000
24,48.0,0.003335400788844439,walk,39.969646,116.41877000000001,2007-08-04 03:31:20.000000
25,50.0,0.003554116493747391,walk,39.96961399999999,116.418771,2007-08-04 03:31:22.000000
26,52.0,0.001834423795392262,walk,39.969599,116.41878,2007-08-04 03:31:24.000000
27,54.0,0.002907040377681054,walk,39.969573,116.41877600000001,2007-08-04 03:31:26.000000
28,56.0,0.0027968066095318566,walk,39.969548,116.41877200000002,2007-08-04 03:31:28.000000
29,58.0,0.0025148864445503514,walk,39.969526,116.418765,2007-08-04 03:31:30.000000
30,60.0,0.0016742521558196048,walk,39.969511,116.418763,2007-08-04 03:31:32.000000
31,62.0,0.0023500234647284,walk,39.969491,116.41877200000002,2007-08-04 03:31:34.000000
32,64.0,0.0018895111190806264,walk,39.969474,116.418771,2007-08-04 03:31:36.000000
33,66.0,0.0012243587255832418,walk,39.969463,116.41877200000002,2007-08-04 03:31:38.000000
34,68.0,0.0015383431973558762,walk,39.969451,116.418763,2007-08-04 03:31:40.000000
35,70.0,0.002959112982203676,walk,39.969426000000006,116.41875100000001,2007-08-04 03:31:42.000000
36,72.0,0.002781104801134572,walk,39.969401,116.418749,2007-08-04 03:31:44.000000
37,74.0,0.002116554816851597,walk,39.969382,116.41875100000001,2007-08-04 03:31:46.000000
38,76.0,0.0015624209134048152,walk,39.969369,116.41875800000001,2007-08-04 03:31:48.000000
39,78.0,0.003658565491610783,walk,39.969348,116.41879100000001,2007-08-04 03:31:50.000000
40,80.0,0.0029949011711291164,walk,39.969327,116.418813,2007-08-04 03:31:52.000000
41,82.0,0.0023793459740539414,walk,39.969307,116.41880300000001,2007-08-04 03:31:54.000000
42,84.0,0.0022790731810239046,walk,39.96928700000001,116.41879700000001,2007-08-04 03:31:56.000000
43,86.0,0.00219277068846493,walk,39.969268,116.41879000000002,2007-08-04 03:31:58.000000
44,88.0,0.003443115348720248,walk,39.96923700000001,116.41879100000001,2007-08-04 03:32:00.000000
45,90.0,0.0030414257639817684,walk,39.969210000000004,116.41878499999999,2007-08-04 03:32:02.000000
46,92.0,0.0022206808147445982,walk,39.96919,116.41878499999999,2007-08-04 03:32:04.000000
47,94.0,0.0026172811944110246,walk,39.96916800000001,116.418774,2007-08-04 03:32:06.000000
48,96.0,0.0028982396848003995,walk,39.96914199999999,116.418777,2007-08-04 03:32:08.000000
49,98.0,0.0023317148271001925,walk,39.96912100000001,116.418777,2007-08-04 03:32:10.000000
50,100.0,0.002444242350384843,walk,39.969099,116.41877800000002,2007-08-04 03:32:12.000000
51,102.0,0.0013147173443355858,walk,39.969089999999994,116.418768,2007-08-04 03:32:14.000000
52,104.0,0.001698091079355257,walk,39.969075999999994,116.41877600000001,2007-08-04 03:32:16.000000
53,106.0,0.0031136448005618742,walk,39.969047999999994,116.41877800000002,2007-08-04 03:32:18.000000
54,108.0,0.0018895109994204059,walk,39.96903100000001,116.418777,2007-08-04 03:32:20.000000
55,110.0,0.0027771652986724234,walk,39.969006,116.41877800000002,2007-08-04 03:32:22.000000
56,112.0,0.0018271776927004661,walk,39.96898999999999,116.418783,2007-08-04 03:32:24.000000
57,114.0,0.0019182628586725144,walk,39.96897300000001,116.41877899999999,2007-08-04 03:32:26.000000
58,116.0,0.0025222947182313733,walk,39.968953000000006,116.418793,2007-08-04 03:32:28.000000
59,118.0,0.0013324084308874115,walk,39.968941,116.418793,2007-08-04 03:32:30.000000
60,120.0,0.0013505746684576822,walk,39.96893100000001,116.418802,2007-08-04 03:32:32.000000
61,122.0,0.0019061614205608938,walk,39.968922,116.41882100000001,2007-08-04 03:32:34.000000
62,124.0,0.0018091130888257,walk,39.968906,116.418825,2007-08-04 03:32:36.000000
63,126.0,0.00217036718873457,walk,39.96889500000001,116.418846,2007-08-04 03:32:38.000000
64,128.0,0.0020437516139217844,walk,39.968877000000006,116.41885099999999,2007-08-04 03:32:40.000000
65,130.0,0.0009856449377059005,walk,39.968869,116.41885600000002,2007-08-04 03:32:42.000000
66,132.0,0.0025765454174415518,walk,39.968846,116.41886000000001,2007-08-04 03:32:44.000000
67,134.0,0.004595272251559894,walk,39.968807,116.418878,2007-08-04 03:32:46.000000
68,136.0,0.0030027841513877583,walk,39.96878000000002,116.418876,2007-08-04 03:32:48.000000
69,138.0,0.003119499474010443,walk,39.968752,116.418873,2007-08-04 03:32:50.000000
70,140.0,0.005253900153166843,walk,39.96872799999999,116.41882,2007-08-04 03:32:52.000000
71,142.0,0.005347700542135412,walk,39.968693,116.418777,2007-08-04 03:32:54.000000
72,144.0,0.005151689592136388,walk,39.96866299999999,116.41873100000001,2007-08-04 03:32:56.000000
73,146.0,0.0017002074951588126,walk,39.968648,116.41872700000002,2007-08-04 03:32:58.000000
74,148.0,0.0023566233540166653,walk,39.968627,116.418723,2007-08-04 03:33:00.000000
75,150.0,0.002227244359250491,walk,39.968607000000006,116.41872100000002,2007-08-04 03:33:02.000000
76,152.0,0.0027735266600801903,walk,39.968583,116.418712,2007-08-04 03:33:04.000000
77,154.0,0.00137553361392451,walk,39.96857099999999,116.418716,2007-08-04 03:33:06.000000
78,156.0,0.002241562523981185,walk,39.96855499999999,116.418732,2007-08-04 03:33:08.000000
79,158.0,0.0020004376411638736,walk,39.968537,116.41873100000001,2007-08-04 03:33:10.000000
80,160.00000000000003,0.0019182631152649837,walk,39.96852,116.41872700000002,2007-08-04 03:33:12.000000
81,162.0,0.003886190956823391,walk,39.96848500000001,116.41872700000002,2007-08-04 03:33:14.000000
82,164.00000000000003,0.003273624435755463,walk,39.96845700000001,116.41871500000002,2007-08-04 03:33:16.000000
83,166.0,0.004562976163757526,walk,39.968423,116.418685,2007-08-04 03:33:18.000000
84,168.0,0.0042798062619775114,walk,39.968394,116.418652,2007-08-04 03:33:20.000000
85,170.00000000000003,0.0034562412472778107,walk,39.968374,116.418621,2007-08-04 03:33:22.000000
86,172.0,0.002661858299982654,walk,39.968355,116.418602,2007-08-04 03:33:24.000000
87,174.0,0.00284189840635561,walk,39.968333,116.418585,2007-08-04 03:33:26.000000
88,176.0,0.0037283988245277533,walk,39.968304,116.418563,2007-08-04 03:33:28.000000
89,178.0,0.0020146064066551956,walk,39.96829,116.41857800000001,2007-08-04 03:33:30.000000
90,180.0,0.002261391865883141,walk,39.96827,116.418583,2007-08-04 03:33:32.000000
91,182.0,0.0007487387472437268,walk,39.968276,116.418579,2007-08-04 03:33:34.000000
92,184.0,0.001371435943581763,walk,39.968275,116.418563,2007-08-04 03:33:36.000000
93,186.0,0.0016828978844508446,walk,39.96827099999999,116.418544,2007-08-04 03:33:38.000000
94,188.0,0.00028019575140214435,walk,39.96826899999999,116.418542,2007-08-04 03:33:40.000000
95,190.0,0.00048144131541888176,walk,39.96826699999999,116.418537,2007-08-04 03:33:42.000000
96,192.0,0.00033912235122603336,walk,39.968265,116.418534,2007-08-04 03:33:44.000000
97,194.0,0.010897642932068267,walk,39.968239,116.418411,2007-08-04 03:33:46.000000
98,196.0,0.002959118707174622,walk,39.968214,116.418423,2007-08-04 03:33:48.000000
99,198.86166183650494,0.00514664613014386,walk,39.945859127752136,116.33614296534758,2007-08-04 03:33:50.861662
